"Course Title","Course URL","Duration","Rating"
"Migrating from PostgreSQL to Amazon RDS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/505/migrating-from-postgresql-to-amazon-rds","30m 00s","5.0"
"Media Glossary","https://explore.skillbuilder.aws/learn/course/external/view/elearning/487/media-glossary","30m 00s","5.0"
"Chime User Best Practices","https://explore.skillbuilder.aws/learn/course/external/view/elearning/483/chime-user-best-practices","1h 00m","5.0"
"AWS Foundations: Getting Started with the AWS Cloud Essentials","https://explore.skillbuilder.aws/learn/course/external/view/elearning/482/aws-foundations-getting-started-with-the-aws-cloud-essentials","1h 00m","5.0"
"AWS Elemental Link - Getting Started","https://explore.skillbuilder.aws/learn/course/external/view/elearning/480/aws-elemental-link-getting-started","20m 00s","5.0"
"AWS Identity and Access Management - Architecture and Terminology","https://explore.skillbuilder.aws/learn/course/external/view/elearning/479/aws-identity-and-access-management-architecture-and-terminology","15m 00s","5.0"
"PostgreSQL Fundamentals: Explain","https://explore.skillbuilder.aws/learn/course/external/view/elearning/478/postgresql-fundamentals-explain","30m 00s","5.0"
"AWS Managed Services (AMS): Readiness","https://explore.skillbuilder.aws/learn/course/external/view/elearning/477/aws-managed-services-ams-readiness","12h 00m","5.0"
"EMEA Summit Recordings","https://explore.skillbuilder.aws/learn/course/external/view/elearning/474/emea-summit-recordings","5h 00m","5.0"
"AWS Managed Services (AMS): Managed AWS Landing Zone","https://explore.skillbuilder.aws/learn/course/external/view/elearning/473/aws-managed-services-ams-managed-aws-landing-zone","4h 30m","4.0"
"AWS Managed Services (AMS): Onboarding","https://explore.skillbuilder.aws/learn/course/external/view/elearning/472/aws-managed-services-ams-onboarding","1h 30m","5.0"
"AWS Foundations: How Amazon SageMaker Can Help","https://explore.skillbuilder.aws/learn/course/external/view/elearning/471/aws-foundations-how-amazon-sagemaker-can-help","30m 00s","5.0"
"PostgreSQL Fundamentals: SQL Command Line","https://explore.skillbuilder.aws/learn/course/external/view/elearning/470/postgresql-fundamentals-sql-command-line","15m 00s","5.0"
"PostgreSQL Fundamentals: Architecture","https://explore.skillbuilder.aws/learn/course/external/view/elearning/468/postgresql-fundamentals-architecture","1h 00m","5.0"
"Amazon Quantum Ledger Database (QLDB) Service Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/466/amazon-quantum-ledger-database-qldb-service-primer","20m 00s","5.0"
"AWS SaaS Factory Architecture Track: SaaS Migration Strategies","https://explore.skillbuilder.aws/learn/course/external/view/elearning/465/aws-saas-factory-architecture-track-saas-migration-strategies","1h 35m","5.0"
"Introduction to Blockchain","https://explore.skillbuilder.aws/learn/course/external/view/elearning/462/introduction-to-blockchain","1h 00m","5.0"
"Let's Build in Amazon Honeycode","https://explore.skillbuilder.aws/learn/course/external/view/elearning/461/lets-build-in-amazon-honeycode","30m 00s","5.0"
"Accelerating Messaging Modernization with Amazon MQ","https://explore.skillbuilder.aws/learn/course/external/view/elearning/460/accelerating-messaging-modernization-with-amazon-mq","1h 30m","5.0"
"Cloud Audit Academy - Cloud Agnostic","https://explore.skillbuilder.aws/learn/course/external/view/elearning/459/cloud-audit-academy-cloud-agnostic","3h 00m","5.0"
"AWS Identity and Access Management - Basics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/454/aws-identity-and-access-management-basics","15m 00s","5.0"
"Getting Started with AWS for Games – Part I","https://explore.skillbuilder.aws/learn/course/external/view/elearning/450/getting-started-with-aws-for-games-part-i","55m 00s","5.0"
"Migrating to AWS: A high level introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/449/migrating-to-aws-a-high-level-introduction","40m 00s","5.0"
"Amazon Route 53 - Domains","https://explore.skillbuilder.aws/learn/course/external/view/elearning/443/amazon-route-53-domains","10m 00s","5.0"
"Machine Learning in the Cloud with AWS Batch","https://explore.skillbuilder.aws/learn/course/external/view/elearning/441/machine-learning-in-the-cloud-with-aws-batch","20m 00s","5.0"
"Detect Anomalies in Game Transactions with ML and Sagemaker","https://explore.skillbuilder.aws/learn/course/external/view/elearning/440/detect-anomalies-in-game-transactions-with-ml-and-sagemaker","30m 00s","5.0"
"SaaS Business Fundamentals","https://explore.skillbuilder.aws/learn/course/external/view/elearning/439/saas-business-fundamentals","1h 30m","5.0"
"Amazon Aurora MySQL - Migration","https://explore.skillbuilder.aws/learn/course/external/view/elearning/438/amazon-aurora-mysql-migration","20m 00s","4.0"
"Amazon Quantum Ledger Database (QLDB) Service Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/427/amazon-quantum-ledger-database-qldb-service-introduction","10m 00s","5.0"
"Introduction to AWS Inferentia and Amazon EC2 Inf1 Instances","https://explore.skillbuilder.aws/learn/course/external/view/elearning/426/introduction-to-aws-inferentia-and-amazon-ec2-inf1-instances","15m 00s","5.0"
"Amazon Honeycode Essentials","https://explore.skillbuilder.aws/learn/course/external/view/elearning/423/amazon-honeycode-essentials","20m 00s","5.0"
"AWS Foundations: Strategies and Tools to Perform Large-Scale Migrations","https://explore.skillbuilder.aws/learn/course/external/view/elearning/419/aws-foundations-strategies-and-tools-to-perform-large-scale-migrations","1h 00m","5.0"
"Introduction to AWS Global Accelerator","https://explore.skillbuilder.aws/learn/course/external/view/elearning/398/introduction-to-aws-global-accelerator","08m 00s","5.0"
"Amazon Aurora Service Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/394/amazon-aurora-service-primer","20m 00s","5.0"
"Amazon Aurora Service Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/393/amazon-aurora-service-introduction","05m 00s","4.0"
