"Course Title","Course URL","Cost","Duration","Rating"
"AWS Internet of Things (IoT) Device Management","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1988/aws-internet-of-things-iot-device-management","Free","1h 00m","5.0"
"Developing Serverless Solutions on AWS- Course Supplement (OCS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1880/developing-serverless-solutions-on-aws-course-supplement-ocs","Free","24h 00m","5.0"
"Build Modern Apps with Purpose-Built Databases","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1857/build-modern-apps-with-purpose-built-databases","Free","3h 00m","5.0"
"AWS Network Connectivity Options","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1754/aws-network-connectivity-options","Free","1h 30m","5.0"
"Amazon Elastic Block Store (Amazon EBS) Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1644/amazon-elastic-block-store-amazon-ebs-primer","Free","1h 30m","5.0"
"Developing with Amazon DynamoDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1525/developing-with-amazon-dynamodb","Free","16h 50m","5.0"
"AWS Cloud Development Kit Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1475/aws-cloud-development-kit-primer","Free","1h 30m","5.0"
"AWS Security Hub Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1395/aws-security-hub-primer","Free","30m 00s","5.0"
"Amazon AppStream 2.0 Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1324/amazon-appstream-20-primer","Free","2h 40m","5.0"
"AWS Managed Services (AMS): Workload Ingest","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1292/aws-managed-services-ams-workload-ingest","Free","10h 00m","5.0"
"Using the AWS Schema Conversion Tool","https://explore.skillbuilder.aws/learn/course/external/view/elearning/525/using-the-aws-schema-conversion-tool","Free","45m 00s","5.0"
"Amazon WorkSpaces Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/517/amazon-workspaces-primer","Free","1h 20m","5.0"
"Migrating from Oracle to Amazon Aurora","https://explore.skillbuilder.aws/learn/course/external/view/elearning/514/migrating-from-oracle-to-amazon-aurora","Free","40m 00s","5.0"
"Preparing to Deploy Amazon WorkSpaces","https://explore.skillbuilder.aws/learn/course/external/view/elearning/511/preparing-to-deploy-amazon-workspaces","Free","10m 00s","5.0"
"Migrating from Microsoft SQL Server to Amazon DynamoDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/510/migrating-from-microsoft-sql-server-to-amazon-dynamodb","Free","45m 00s","4.0"
"Breaking Free from Legacy Databases","https://explore.skillbuilder.aws/learn/course/external/view/elearning/509/breaking-free-from-legacy-databases","Free","20m 00s","5.0"
"Launching a WorkSpace","https://explore.skillbuilder.aws/learn/course/external/view/elearning/507/launching-a-workspace","Free","10m 00s","5.0"
"Introduction to AWS End User Computing Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/504/introduction-to-aws-end-user-computing-services","Free","30m 00s","5.0"
"Managing Your WorkSpaces","https://explore.skillbuilder.aws/learn/course/external/view/elearning/503/managing-your-workspaces","Free","10m 00s","5.0"
"Auditing Amazon Simple Storage Service (Amazon S3) Security","https://explore.skillbuilder.aws/learn/course/external/view/elearning/502/auditing-amazon-simple-storage-service-amazon-s3-security","Free","1h 00m","5.0"
"Configuring and Deploying VPCs with Multiple Subnets","https://explore.skillbuilder.aws/learn/course/external/view/elearning/499/configuring-and-deploying-vpcs-with-multiple-subnets","Free","1h 00m","5.0"
"Break Free of Legacy Databases","https://explore.skillbuilder.aws/learn/course/external/view/elearning/498/break-free-of-legacy-databases","Free","1h 45m","5.0"
"Amazon Simple Storage Service (Amazon S3) Storage Classes Deep Dive","https://explore.skillbuilder.aws/learn/course/external/view/elearning/497/amazon-simple-storage-service-amazon-s3-storage-classes-deep-dive","Free","1h 00m","5.0"
"IoT Foundation: Telemetry","https://explore.skillbuilder.aws/learn/course/external/view/elearning/489/iot-foundation-telemetry","Free","2h 30m","5.0"
"AWS IoT Security Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/488/aws-iot-security-primer","Free","3h 00m","5.0"
"Create streaming video with captions, subtitles, and audio tracks using AWS AI services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/484/create-streaming-video-with-captions-subtitles-and-audio-tracks-using-aws-ai-services","Free","30m 00s","5.0"
"Building an Analytics Pipeline for Games","https://explore.skillbuilder.aws/learn/course/external/view/elearning/475/building-an-analytics-pipeline-for-games","Free","1h 30m","5.0"
"Amazon Connect Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/469/amazon-connect-primer","Free","3h 00m","5.0"
"How AWS Managed Services (AMS) Works Within Cloud Operating Models","https://explore.skillbuilder.aws/learn/course/external/view/elearning/467/how-aws-managed-services-ams-works-within-cloud-operating-models","Free","15m 00s","5.0"
"AWS IoT Device Defender Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/463/aws-iot-device-defender-primer","Free","3h 00m","5.0"
"Amazon Lumberyard Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/458/amazon-lumberyard-primer","Free","1h 30m","5.0"
"Working with Captions using AWS Elemental MediaLive","https://explore.skillbuilder.aws/learn/course/external/view/elearning/457/working-with-captions-using-aws-elemental-medialive","Free","45m 00s","5.0"
"Game Server Hosting with Amazon EC2","https://explore.skillbuilder.aws/learn/course/external/view/elearning/451/game-server-hosting-with-amazon-ec2","Free","1h 30m","5.0"
"AWS Managed Services (AMS): Accounts and Networking Overview","https://explore.skillbuilder.aws/learn/course/external/view/elearning/448/aws-managed-services-ams-accounts-and-networking-overview","Free","30m 00s","5.0"
"AWS IoT Security Series","https://explore.skillbuilder.aws/learn/course/external/view/elearning/447/aws-iot-security-series","Free","10h 00m","5.0"
"Managing AWS IoT Devices: Fleet Indexing","https://explore.skillbuilder.aws/learn/course/external/view/elearning/444/managing-aws-iot-devices-fleet-indexing","Free","30m 00s","5.0"
