Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Develop Java Embedded Applications Using a Raspberry Pi,"https://apexapps.oracle.com/pls/apex/f?p=44785:145:0::::P145_EVENT_ID,P145_PREV_PAGE:1841,143",Computer Science,"Have you wondered what the future of embedded devices looks like?
Have you ever wanted to create your own weather station or design a device to control the lights in your home automatically?
All of these questions will be answered in this practical hands…","Have you wondered what the future of embedded devices looks like?
Have you ever wanted to create your own weather station or design a device to control the lights in your home automatically?
All of these questions will be answered in this practical hands…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Oracle,
PLM14101: Global Information Technology Outlook,https://forumacademy.weforum.org/courses/ForumAcademy/PLM14101/Summer_2014/about,Computer Science,"Pervasive sensing and mobile platforms, advanced algorithms, and next generation robotics are making our environments more responsive, intelligent and automated. This technological change is transforming the industry landscape as never before, and organi…","Pervasive sensing and mobile platforms, advanced algorithms, and next generation robotics are making our environments more responsive, intelligent and automated. This technological change is transforming the industry landscape as never before, and organi…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,World Economic Forum,
MOOC@TU9. Discover Excellence in Engineering and the Natural Sciences - Made in Germany,https://www.tu9.de/projects/6515.php,Computer Science,"The course presents the diversity and perspectives of German engineering studies at the TU9 Universities. It provides a profound insight into the key questions, contents, structures and working methods of various disciplines and courses of study.","The course presents the diversity and perspectives of German engineering studies at the TU9 Universities. It provides a profound insight into the key questions, contents, structures and working methods of various disciplines and courses of study.",Introductory,0,1,0,4.39,0,English,English,Independent Courses,TU9,
Renewable Energy Innovation MOOC,https://store.climate-kic.org/,Computer Science,"The Renewable Energy Innovation (REI) MOOC is an action-based learning resource designed for anyone with an interest in finding ways to use renewable energy to fight climate change. You might be an educator, a budding entrepreneur, a researcher, a school…","The Renewable Energy Innovation (REI) MOOC is an action-based learning resource designed for anyone with an interest in finding ways to use renewable energy to fight climate change. You might be an educator, a budding entrepreneur, a researcher, a school…",Introductory,2,0,0,4.39,0,English,English,Independent Courses,Climate-KIC,
Computational Linear Algebra,https://www.fast.ai/posts/2017-07-17-num-lin-alg.html,Computer Science,"The primary resource for this course is the free online textbook of Jupyter Notebooks, available on Github. They are full of explanations, code samples, pictures, interesting links, and exercises for you to try. Anyone can view the notebooks online by cl…","The primary resource for this course is the free online textbook of Jupyter Notebooks, available on Github. They are full of explanations, code samples, pictures, interesting links, and exercises for you to try. Anyone can view the notebooks online by cl…",Introductory,2,0,0,4.39,0,English,English,Independent Courses,fast.ai,
Cutting Edge Deep Learning For Coders,https://course.fast.ai/part2.html,Computer Science,"This course assumes you are familiar with part 1, Practical Deep Learning for Coders, so head over there if you haven't completed that course, or are not already familiar with current deep learning best practices. We will be assuming familiarity with eve…","This course assumes you are familiar with part 1, Practical Deep Learning for Coders, so head over there if you haven't completed that course, or are not already familiar with current deep learning best practices. We will be assuming familiarity with eve…",Introductory,2,1,0,4.39,0,English,English,Independent Courses,fast.ai,
RediSearch,https://university.redis.com/courses/ru201/,Computer Science,"This advanced course covers RediSearch, the in-memory search engine built as a Redis Module. The course begins with a deep dive into the fundamentals of search engines. We then cover the structures and operations of Redi search. We&rsquo;ll look at the i…","This advanced course covers RediSearch, the in-memory search engine built as a Redis Module. The course begins with a deep dive into the fundamentals of search engines. We then cover the structures and operations of Redi search. We&rsquo;ll look at the i…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Redis for Java Developers,https://university.redis.com/courses/ru102j/,Computer Science,Redis for Java Developers teaches you how to build robust Redis client applications in Java using the Jedis client library. The course focuses on writing idiomatic Java applications with the Jed is API. It describes language-specific patterns for managin…,Redis for Java Developers teaches you how to build robust Redis client applications in Java using the Jedis client library. The course focuses on writing idiomatic Java applications with the Jed is API. It describes language-specific patterns for managin…,Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Redis for Python Developers,https://university.redis.com/courses/ru102py/,Computer Science,"In&nbsp;RU102PY, you&rsquo;ll build a complete application using Python, Redis, and the Flask web framework. Learn how to connect to Redis and model a domain, store and retrieve data, and take advantage of common Redis patterns.","In&nbsp;RU102PY, you&rsquo;ll build a complete application using Python, Redis, and the Flask web framework. Learn how to connect to Redis and model a domain, store and retrieve data, and take advantage of common Redis patterns.",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Redis Streams,https://university.redis.com/courses/ru202/,Computer Science,"Redis Streams is a new feature for Redis 5.0. In this course, we&rsquo;ll cover the basic concepts of streaming, and then provide a broad overview of RedisStreams itself. After that, we'll explore the Redisstreams commands in detail, and discover how thi…","Redis Streams is a new feature for Redis 5.0. In this course, we&rsquo;ll cover the basic concepts of streaming, and then provide a broad overview of RedisStreams itself. After that, we'll explore the Redisstreams commands in detail, and discover how thi…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Redis Security,https://university.redis.com/courses/ru330/,Computer Science,"Learn everything you need to know about Redis Security. The course focuses on access-control, data encryption, and secure deployment practices.","Learn everything you need to know about Redis Security. The course focuses on access-control, data encryption, and secure deployment practices.",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Running Redis at Scale,https://university.redis.com/courses/ru301/,Computer Science,Redis Labs leads and sponsors the development of open source Redis. We also provide Redis Enterprise as both an on-premises software deployment and a fully managed cloud service. This course is focused on scaling. We have tried to identify key topics tha…,Redis Labs leads and sponsors the development of open source Redis. We also provide Redis Enterprise as both an on-premises software deployment and a fully managed cloud service. This course is focused on scaling. We have tried to identify key topics tha…,Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Malware Analysis 3103: Rich Text Format (RTF),https://p.ost2.fyi/courses/course-v1:OpenSecurityTraining2+MA3103+2021_V1/about,Computer Science,In the malicious documents series of courses we will go through some of the most common document file formats. We will start with an overview of each format. Based on this we will look at tools & methods to analyze them and common payload delivery techni…,In the malicious documents series of courses we will go through some of the most common document file formats. We will start with an overview of each format. Based on this we will look at tools & methods to analyze them and common payload delivery techni…,Introductory,2,0,0,4.39,0,English,English,Independent Courses,OpenSecurityTraining2,
Learn to teach with automatic assessments,https://juezlti.eu/mooc/,Computer Science,"In the middle of November, we will start a fantastic four week learning opportunity. Come and join teachers around the world and learn how to teach with automatic assessments using JuezLTI. Completely free of charge. No strings attached. Sign up below.","In the middle of November, we will start a fantastic four week learning opportunity. Come and join teachers around the world and learn how to teach with automatic assessments using JuezLTI. Completely free of charge. No strings attached. Sign up below.",Introductory,0,1,0,4.39,0,English,English,Independent Courses,CIFP Carlos III,
Begin learning Elixir,https://alchemist.camp/start#beginner,Computer Science,Alchemist Camp has a growing library of resources to help you learn the Elixir language and this page is your brief guide on how to use it.,Alchemist Camp has a growing library of resources to help you learn the Elixir language and this page is your brief guide on how to use it.,Introductory,0,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Introduction to Erlang Programming,https://codered.eccouncil.org/course/introduction-to-erlang-programming?logged=false,Computer Science,"Learn how to build concurrent, scalable, and reliable systems using a functional programming language!","Learn how to build concurrent, scalable, and reliable systems using a functional programming language!",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Kubernetes Core Concepts,https://kube.academy/paths/kubernetes-core-concepts,Computer Science,"In this path, you'll learn how to containerize and deploy a Kubernetes application, manage application lifecycle and configuration, networking considerations, workload options and security, and more.","In this path, you'll learn how to containerize and deploy a Kubernetes application, manage application lifecycle and configuration, networking considerations, workload options and security, and more.",Introductory,0,1,0,4.39,0,English,English,Independent Courses,KubeAcademy,
Introduction to Reverse Engineering with Ghidra,https://hackaday.io/course/172292-introduction-to-reverse-engineering-with-ghidra,Computer Science,This is a four session course that covers the basics of reverse engineering software with Ghidra. For each session there are exercises to be completed that can be found on the project github page.,This is a four session course that covers the basics of reverse engineering software with Ghidra. For each session there are exercises to be completed that can be found on the project github page.,Introductory,0,1,0,4.39,0,English,English,Independent Courses,Hackaday,
