Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
RPA using UiPath Certification Training,https://www.edureka.co/robotic-process-automation-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1362&objPos=7,Computer Science,"Set up UiPath CE, Orchestrator, Automate Excel and Web Activities, & more",,0,1,1,31634.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
PySpark Certification Training Course,https://www.edureka.co/pyspark-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=651&objPos=8,Computer Science,"Includes Python, Spark RDD, Spark SQL, Spark MLlib & Kafka +3 more",,0,1,1,8370.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microsoft Azure Administrator Certification Training: AZ-104,https://www.edureka.co/microsoft-azure-administrator-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1202&objPos=9,Computer Science,"Includes Azure Virtual Machines, Storage, Monitoring & Azure AD +5 more",,0,1,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
CompTIA Security+ Certification Training - SY0-601 Exam,https://www.edureka.co/comptia-security-plus-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1217&objPos=10,Computer Science,"Includes Network Security, Wireless Security, IdAM, Risk Management & more",,0,1,0,5615.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Informatica Certification Training Course,https://www.edureka.co/informatica-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=442&objPos=11,Computer Science,"Includes: Data Integration, Transformations, Tasks, Workflows & more",,0,1,1,19693.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Spring Framework Certification Course,https://www.edureka.co/spring-certification-course?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=62&objPos=13,Computer Science,"Develop web applications by mastering Spring web, security and more",,0,1,1,10251.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Linux Administration Certification Training Course,https://www.edureka.co/linux-admin?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=64&objPos=14,Computer Science,"Includes: Linux system basics, security and network management & more.",,0,1,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Apache Kafka Certification Training Course,https://www.edureka.co/kafka-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=510&objPos=15,Computer Science,Create real-time data pipelines using Kafka and its APIs,,0,1,1,7514.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
AWS Developer Certification Training,https://www.edureka.co/aws-developer-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=164&objPos=16,Computer Science,Develop SaaS applications in AWS using high availability and more,,0,1,1,11457.0,4.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Salesforce Platform Developer 1 Certification Training,https://www.edureka.co/salesforce-platform-developer-1-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=803&objPos=17,Computer Science,"Includes APEX Programming, SOQL/SOSL Query, Deployment Strategy, and more",,0,1,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
