course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
Data Processing Using Python,https://www.coursera.org/learn/python-data-processing,Nanjing University,"Skills you'll gain: Computer Programming, Python Programming, Computer Science, Data Structures, Theoretical Computer Science, Computational Thinking, Human Computer Interaction, User Experience, Statistical Programming",4.1,"88,025",beginner,1-3 months,course,free
Cybersecurity and Its Ten Domains,https://www.coursera.org/learn/cyber-security-domain,University System of Georgia,"Skills you'll gain: Security Engineering, Security Strategy, Computer Security Incident Management, Cryptography, Cyberattacks, Computer Security Models, Network Security, Security Software, Computer Networking, Leadership and Management, Operating Systems, System Security, Theoretical Computer Science",4.3,"1,74,126",beginner,1-3 months,course,free
Working for a sustainable future: concepts and approaches,https://www.coursera.org/learn/working-for-a-sustainable-future,Lund University,"Skills you'll gain: Entrepreneurship, Research and Design, Innovation, Leadership and Management, Operating Systems, Problem Solving, Systems Design, Theoretical Computer Science, Data Analysis",4.7,"2,684",beginner,1-3 months,course,free
API Design and Fundamentals of Google Cloud's Apigee API Platform,https://www.coursera.org/learn/api-design-apigee-gcp,Google Cloud,"Skills you'll gain: Cloud API, Cloud Computing, Google Cloud Platform, Computer Programming, Computer Programming Tools, Software Architecture, Software Engineering, Theoretical Computer Science",4.7,"35,464",beginner,1-3 months,course,free
Introduction to Blockchain for Financial Services,https://www.coursera.org/learn/intro-blockchain-financial-services,INSEAD,"Skills you'll gain: BlockChain, Finance, FinTech, Security Engineering, Cryptography, Operating Systems, Software Security, System Security, Theoretical Computer Science",4.7,"18,945",beginner,1-3 months,course,free
Introduction to Accounting Data Analytics and Visualization,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,University of Illinois at Urbana-Champaign,"Skills you'll gain: Data Analysis, Data Visualization, Accounting, General Statistics, Probability & Statistics, Regression, Statistical Analysis, Basic Descriptive Statistics, Business Analysis, Correlation And Dependence, Critical Thinking, Data Management, Data Structures, Data Visualization Software, Management Accounting, Microsoft Excel, Plot (Graphics), Spreadsheet Software, Statistical Visualization, Taxes, Visualization (Computer Graphics), Audit, Data Analysis Software, Data Architecture, Financial Accounting, Financial Analysis, Machine Learning, Research and Design, Strategy and Operations, Tableau Software, Theoretical Computer Science",4.8,"23,643",beginner,1-3 months,course,free
Introduction and Programming with IoT Boards,https://www.coursera.org/learn/introduction-iot-boards,Pohang University of Science and Technology,"Skills you'll gain: Internet Of Things, Information Technology, Computer Science, Computer Networking, Computer Programming, Network Architecture, Python Programming, Computer Architecture, Computer Graphics, Human Computer Interaction, Interactive Design, Networking Hardware, Other Programming Languages, Software Engineering, Statistical Programming",4.6,"45,963",beginner,1-3 months,course,free
Problem Solving Using Computational Thinking,https://www.coursera.org/learn/compthinking,University of Michigan,"Skills you'll gain: Computational Thinking, Computer Programming, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Theoretical Computer Science, Algorithms, Epidemiology, Machine Learning, Probability & Statistics",4.6,"80,562",beginner,1-3 months,course,free
Java for Android,https://www.coursera.org/learn/java-for-android,Vanderbilt University,"Skills you'll gain: Java Programming, Computer Programming, Android Development, Mobile Development, Software Engineering, Software Testing, Algorithms, Computer Programming Tools, Programming Principles, Theoretical Computer Science",4.5,"2,04,690",beginner,1-3 months,course,free
Preparar datos para la exploración,https://www.coursera.org/learn/preparar-datos-para-la-exploracion,Google,"Skills you'll gain: Databases, Security Engineering, Computer Programming, Data Analysis, Data Management, Operating Systems, Software Security, System Security, Theoretical Computer Science, Data Model, Data Structures, Web Development, Computer Networking, Network Security, Programming Principles, SQL, Security Strategy, Statistical Programming, Database Administration, Leadership Development, Leadership and Management, Microsoft Excel",4.7,"10,160",beginner,1-3 months,course,free
